"No.","Time","Source","Destination","Protocol","Length","Info"
"4743","245.734952","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=57525 Ack=1979 Win=70656 Len=1348 TSval=1069532763 TSecr=4113927385 [TCP segment of a reassembled PDU]"
"4744","245.759946","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=58873 Win=99200 Len=0 TSval=4113927470 TSecr=1069532763"
"4745","246.344189","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=58873 Ack=1979 Win=70656 Len=1348 TSval=1069532763 TSecr=4113927385 [TCP segment of a reassembled PDU]"
"4746","245.792702","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=60221 Ack=1979 Win=70656 Len=1348 TSval=1069532767 TSecr=4113927385 [TCP segment of a reassembled PDU]"
"4747","245.833810","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=60221 Win=101888 Len=0 TSval=4113927475 TSecr=1069532763"
"4748","245.835191","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=61569 Win=104576 Len=0 TSval=4113927475 TSecr=1069532767"
"4749","246.351671","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=61569 Ack=1979 Win=70656 Len=1348 TSval=1069532767 TSecr=4113927385 [TCP segment of a reassembled PDU]"
"4750","245.856040","223.196.57.16","192.168.43.6","TCP","2762","443  >  53428 [ACK] Seq=62917 Ack=1979 Win=70656 Len=2696 TSval=1069532771 TSecr=4113927385 [TCP segment of a reassembled PDU]"
"4751","245.902546","223.196.57.16","192.168.43.6","TCP","2762","443  >  53428 [ACK] Seq=65613 Ack=1979 Win=70656 Len=2696 TSval=1069532774 TSecr=4113927385 [TCP segment of a reassembled PDU]"
"4752","245.948785","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=62917 Win=107264 Len=0 TSval=4113927483 TSecr=1069532767"
"4753","246.363047","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=65613 Win=112640 Len=0 TSval=4113927483 TSecr=1069532771"
"4754","245.950881","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=68309 Win=118016 Len=0 TSval=4113927483 TSecr=1069532774"
"4755","246.363218","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=68309 Ack=1979 Win=70656 Len=1348 TSval=1069532798 TSecr=4113927443 [TCP segment of a reassembled PDU]"
"4756","245.983001","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=69657 Win=120704 Len=0 TSval=4113927506 TSecr=1069532798"
"4757","245.984252","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=69657 Ack=1979 Win=70656 Len=1348 TSval=1069532798 TSecr=4113927443 [TCP segment of a reassembled PDU]"
"4758","246.012181","223.196.57.16","192.168.43.6","TLSv1.3","2762","Application Data [TCP segment of a reassembled PDU]"
"4759","246.376471","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=71005 Win=123520 Len=0 TSval=4113927507 TSecr=1069532798"
"4760","246.086288","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=73701 Win=128896 Len=0 TSval=4113927508 TSecr=1069532800"
"4761","246.087409","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [PSH, ACK] Seq=73701 Ack=1979 Win=70656 Len=1348 TSval=1069532803 TSecr=4113927446 [TCP segment of a reassembled PDU]"
"4762","246.121598","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=75049 Ack=1979 Win=70656 Len=1348 TSval=1069532805 TSecr=4113927446 [TCP segment of a reassembled PDU]"
"4763","246.159399","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=75049 Win=131584 Len=0 TSval=4113927510 TSecr=1069532803"
"4764","246.161707","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=76397 Win=134272 Len=0 TSval=4113927510 TSecr=1069532805"
"4765","246.163646","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=76397 Ack=1979 Win=70656 Len=1348 TSval=1069532805 TSecr=4113927446 [TCP segment of a reassembled PDU]"
"4766","246.201342","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=77745 Win=136960 Len=0 TSval=4113927512 TSecr=1069532805"
"4767","246.202806","223.196.57.16","192.168.43.6","TCP","1414","[TCP Previous segment not captured] 443  >  53428 [ACK] Seq=79093 Ack=1979 Win=70656 Len=1348 TSval=1069532808 TSecr=4113927447 [TCP segment of a reassembled PDU]"
